# wavelength_(μm) flux_(mJy) flux_unc_(mJy)
3.0202783 0.000221908 0.000009228
3.0209572 0.000381221 0.000232839
3.0216360 0.000213629 0.000085088
3.0223148 0.000204746 0.000277898
3.0229936 0.000204746 0.000221094
3.0236725 0.000251197 0.000046820
3.0243513 0.000251197 0.000021292
3.0250301 0.000517227 0.000012259
3.0257089 0.000517227 0.000181134
3.0263877 0.000283359 0.000274330
3.0270664 0.000345056 0.000191567
3.0277452 0.000283359 0.000221132
3.0284240 0.000277589 0.000237947
3.0291028 0.000146159 0.000133459
3.0297815 0.000146159 0.000178671
3.0304603 0.000049072 0.000098482
3.0311391 0.000146159 0.000178040
3.0318178 0.000147916 0.000175062
3.0324966 0.000147916 0.000042077
3.0331753 0.000147916 0.000217939
3.0338541 0.000186979 0.000242861
3.0345328 0.000222713 0.000239096
3.0352115 0.000200683 0.000267130
3.0358902 0.000200683 0.000242536
3.0365690 0.000200683 0.000238959
3.0372477 0.000200683 0.000188744
3.0379264 0.000066472 0.000253433
3.0413198 0.000109563 0.000308416
3.0419985 0.000109563 0.000369158
3.0426772 0.000109563 0.000201453
3.0433559 0.000109563 0.000192372
3.0440345 0.000085343 0.000196255
3.0447132 0.000003781 0.000225036
3.0453918 0.000004503 0.000258350
3.0460705 0.000085343 0.000156185
3.0467491 0.000085343 0.000253941
3.0474278 0.000177927 0.000184767
3.0481064 0.000180376 0.000305808
3.0487850 0.000303075 0.000236058
3.0494636 0.000180376 0.000155997
3.0501423 0.000303075 0.000137431
3.0508209 0.000303075 0.000221406
3.0514995 0.000200571 0.000288449
3.0521781 0.000200571 0.000201198
3.0528567 0.000278726 0.000301210
3.0535353 0.000200571 0.000162091
3.0542138 0.000200571 0.000261697
3.0548924 0.000064484 0.000281506
3.0555710 0.000027540 0.000105865
3.0562496 0.000027540 0.000268901
3.0569281 0.000064484 0.000254639
3.0576067 0.000088016 0.000157350
3.0582853 0.000134792 0.000223112
3.0589638 0.000224970 0.000252129
3.0596424 0.000227694 0.000227305
3.0603209 0.000500599 0.000283058
3.0609994 0.000227694 0.000308613
3.0616780 0.000224970 0.000351900
3.0623565 0.000206628 0.000349931
3.0630350 0.000053340 0.000300080
3.0671060 0.000003624 0.000160318
3.0677845 0.000202682 0.000240868
3.0684630 0.000003624 0.000224865
3.0691415 0.000003624 0.000237534
3.0698199 0.000111532 0.000166489
3.0704984 0.000240854 0.000262798
3.0711769 0.000111532 0.000285197
3.0718553 0.000251028 0.000160874
