# wavenumber_(/cm) absorbance absorbance_unc
3522.5548837 0.4643835 0.0226362
3521.7110670 0.4641688 0.0309513
3520.8676545 0.4667220 0.0249947
3520.0246458 0.4814817 0.0262288
3519.1821646 0.4953193 0.0356319
3518.3399628 0.5197251 0.0368903
3517.4981640 0.8882799 0.0827701
3516.6568915 0.8911629 0.0706762
3515.8158978 0.8875320 0.0523204
3514.9754298 0.6095714 0.0081866
3514.1352400 0.5675610 0.0267935
3513.2955752 0.5452454 0.0086736
3512.4563116 0.5459168 0.0182583
3511.6174489 0.5489481 0.0252274
3510.7788635 0.5468582 0.0250677
3509.9408017 0.6077454 0.0305771
3509.1031399 0.6353615 0.0238267
3508.2658779 0.6358115 0.0228594
3507.4290152 0.6389199 0.0358729
3506.5925518 0.6341487 0.0335039
3505.7564872 0.6484277 0.0250553
3504.9208212 0.6498862 0.0140201
3504.0856763 0.6609934 0.0028750
3503.2508066 0.6940692 0.0092394
3502.4163345 0.6924034 0.0360381
3501.5823826 0.7044988 0.0492651
3500.7487051 0.7533013 0.0576254
3499.9155470 0.9250766 0.0904690
3499.0826630 0.9723466 0.1067406
3498.2502976 0.9819354 0.1100468
3497.4182059 0.9668534 0.1124536
3496.5866321 0.7702677 0.0548063
3495.7554537 0.7384062 0.0563154
3494.9245482 0.7410620 0.0556725
3494.0941598 0.7406568 0.0704558
3493.2641658 0.7483777 0.0548149
3492.4345660 0.7938496 0.0349429
3491.6053602 0.8001927 0.0448765
3490.7765480 0.8109399 0.0613652
3489.9481292 0.7695157 0.0424923
3489.1201036 0.7633702 0.0271772
3488.2924707 0.7593730 0.0292871
3487.4653520 0.8119112 0.0345356
3486.6385039 0.8851754 0.0554502
3485.8120478 0.9036450 0.0484819
3484.9861048 0.8997610 0.0439669
3484.1604318 0.9662199 0.0661295
3483.3352712 0.8961511 0.0654481
3482.5103801 0.8849311 0.0799803
3481.6860009 0.9029497 0.0864852
3480.8618906 0.9937864 0.1058756
3480.0382916 1.0045369 0.1249653
3479.2150821 1.0880237 0.1241384
3478.3921411 1.0691924 0.0981120
3477.5697101 1.0452506 0.0851816
3476.7476680 1.0583825 0.0710885
3475.9260145 1.0622525 0.1157524
3475.1047492 0.9982284 0.0888044
3474.2838719 1.0624559 0.0971415
3473.4633823 1.1155917 0.0376314
3472.6432802 1.1439881 0.1090961
3471.8236858 1.1491350 0.0974187
3471.0043577 1.1581067 0.1165975
3470.1854162 1.1380547 0.1394353
3469.3668610 1.1111904 0.0861213
3468.5488122 1.0928723 0.0734255
3467.7310289 0.9912612 0.0297133
3466.9137513 0.9838255 0.0714434
