# wavelength_(/cm) continuum_(mJy)
2.9978740 0.028225890
2.9985530 0.028251909
2.9992320 0.028277917
2.9999110 0.028303912
3.0005899 0.028329894
3.0039848 0.028459622
3.0046637 0.028485530
3.0053427 0.028511426
3.0060216 0.028537311
3.0080584 0.028614889
3.0087374 0.028640724
3.0094163 0.028666546
3.0100952 0.028692357
3.0107741 0.028718154
3.0114530 0.028743941
3.0121319 0.028769714
3.0128108 0.028795474
3.0134897 0.028821224
3.0141686 0.028846961
3.0148475 0.028872685
3.0155263 0.028898398
3.0162052 0.028924097
3.0168841 0.028949785
3.0175629 0.028975461
3.0182418 0.029001124
3.0189206 0.029026775
3.0195995 0.029052414
3.0202783 0.029078040
3.0209572 0.029103653
3.0216360 0.029129255
3.0223148 0.029154846
3.0229936 0.029180424
3.0236725 0.029205988
3.0243513 0.029231542
3.0250301 0.029257082
3.0257089 0.029282611
3.0263877 0.029308128
3.0270664 0.029333632
3.0277452 0.029359124
3.0284240 0.029384605
3.0291028 0.029410072
3.0297815 0.029435527
3.0304603 0.029460971
3.0311391 0.029486403
3.0318178 0.029511822
3.0324966 0.029537228
3.0331753 0.029562623
3.0338541 0.029588005
3.0345328 0.029613375
3.0352115 0.029638733
3.0358902 0.029664079
3.0365690 0.029689412
3.0372477 0.029714734
3.0379264 0.029740043
3.0413198 0.029866409
3.0419985 0.029891645
3.0426772 0.029916870
3.0433559 0.029942082
3.0440345 0.029967282
3.0447132 0.029992470
3.0453918 0.030017646
3.0460705 0.030042809
3.0467491 0.030067961
3.0474278 0.030093100
3.0481064 0.030118228
3.0487850 0.030143343
3.0494636 0.030168446
3.0501423 0.030193537
3.0508209 0.030218616
3.0514995 0.030243683
3.0521781 0.030268738
3.0528567 0.030293780
3.0535353 0.030318811
3.0542138 0.030343830
3.0548924 0.030368836
3.0555710 0.030393831
3.0562496 0.030418813
3.0569281 0.030443783
3.0576067 0.030468741
3.0582853 0.030493687
3.0589638 0.030518620
3.0596424 0.030543542
3.0603209 0.030568453
3.0609994 0.030593350
3.0616780 0.030618235
3.0623565 0.030643110
3.0630350 0.030667970
3.0671060 0.030816888
3.0677845 0.030841665
3.0684630 0.030866430
3.0691415 0.030891184
3.0698199 0.030915925
3.0704984 0.030940655
3.0711769 0.030965371
3.0718553 0.030990077
3.0725338 0.031014769
3.0732122 0.031039451
3.0738907 0.031064120
3.0745691 0.031088777
3.0752475 0.031113422
3.0759259 0.031138056
3.0766044 0.031162676
3.0772828 0.031187285
3.0779612 0.031211883
3.0786396 0.031236468
3.0793180 0.031261041
3.0799964 0.031285603
3.0806748 0.031310152
3.0813532 0.031334690
3.0820315 0.031359214
3.0827099 0.031383728
3.0833883 0.031408230
3.0840666 0.031432719
3.0847450 0.031457196
3.0854234 0.031481661
3.0861017 0.031506116
3.0867800 0.031530556
3.0874584 0.031554987
3.0881367 0.031579404
3.0888150 0.031603811
3.0894934 0.031628204
3.0901717 0.031652586
3.0908500 0.031676956
3.0915283 0.031701314
3.0922066 0.031725660
3.0928849 0.031749994
3.0935632 0.031774317
3.0942415 0.031798627
3.0949198 0.031822925
3.0955981 0.031847211
3.0962763 0.031871486
3.0969546 0.031895749
3.0976329 0.031920000
3.0983111 0.031944239
3.0989894 0.031968466
3.0996676 0.031992681
3.1003459 0.032016885
3.1010241 0.032041075
3.1017023 0.032065256
3.1023806 0.032089423
3.1030588 0.032113578
3.1037370 0.032137723
3.1044152 0.032161855
3.1050934 0.032185974
3.1057716 0.032210083
3.1064498 0.032234179
3.1071280 0.032258264
3.1078062 0.032282336
3.1084844 0.032306396
3.1091625 0.032330445
3.1098407 0.032354483
3.1105189 0.032378508
3.1111970 0.032402521
3.1118752 0.032426523
3.1125534 0.032450512
3.1132315 0.032474489
3.1139096 0.032498456
3.1145878 0.032522410
3.1152659 0.032546352
3.1159440 0.032570283
3.1166222 0.032594202
3.1173003 0.032618108
3.1179784 0.032642003
3.1186565 0.032665886
3.1193346 0.032689758
3.1200127 0.032713617
3.1206908 0.032737465
3.1213689 0.032761301
3.1220469 0.032785126
3.1227250 0.032808938
3.1234031 0.032832738
3.1240812 0.032856527
3.1247592 0.032880305
3.1254373 0.032904069
3.1261153 0.032927823
3.1267934 0.032951565
3.1274714 0.032975295
3.1281494 0.032999013
3.1288275 0.033022719
3.1295055 0.033046414
3.1301835 0.033070096
3.1308615 0.033093768
3.1315395 0.033117427
3.1322176 0.033141074
3.1328955 0.033164710
3.1335735 0.033188334
3.1342515 0.033211946
3.1349295 0.033235546
3.1356075 0.033259135
3.1362855 0.033282713
3.1369634 0.033306278
3.1376414 0.033329831
3.1383194 0.033353373
3.1389973 0.033376903
3.1396753 0.033400422
3.1403532 0.033423928
3.1410312 0.033447423
3.1417091 0.033470907
3.1423870 0.033494378
3.1430649 0.033517837
3.1437429 0.033541285
3.1444208 0.033564723
3.1450987 0.033588147
3.1457766 0.033611559
3.1464545 0.033634961
3.1471324 0.033658350
3.1478103 0.033681728
3.1484881 0.033705094
3.1491660 0.033728449
3.1498439 0.033751792
3.1505218 0.033775123
3.1511996 0.033798443
3.1518775 0.033821751
3.1525553 0.033845047
3.1532332 0.033868330
3.1539110 0.033891604
3.1545889 0.033914865
3.1552667 0.033938114
3.1559445 0.033961352
3.1566224 0.033984578
3.1573002 0.034007793
3.1579780 0.034030995
3.1586558 0.034054187
3.1593336 0.034077366
3.1600114 0.034100533
3.1606892 0.034123691
3.1613670 0.034146834
3.1620448 0.034169968
3.1627225 0.034193090
3.1634003 0.034216199
3.1640781 0.034239298
3.1647558 0.034262384
3.1654336 0.034285459
3.1661113 0.034308522
3.1667891 0.034331574
3.1674668 0.034354614
3.1681446 0.034377642
3.1688223 0.034400659
3.1695000 0.034423664
3.1701777 0.034446657
3.1708555 0.034469639
3.1715332 0.034492610
3.1722109 0.034515569
3.1728886 0.034538516
3.1735663 0.034561453
3.1742440 0.034584376
3.1749217 0.034607289
3.1755993 0.034630190
3.1762770 0.034653079
3.1769547 0.034675956
3.1776324 0.034698823
3.1783100 0.034721677
3.1789877 0.034744521
3.1796653 0.034767352
3.1803430 0.034790173
3.1810206 0.034812981
3.1816982 0.034835778
3.1823759 0.034858563
3.1830535 0.034881336
3.1837311 0.034904099
3.1844087 0.034926850
3.1850863 0.034949589
3.1857639 0.034972317
3.1864415 0.034995033
3.1871191 0.035017737
3.1877967 0.035040431
3.1884743 0.035063113
3.1891519 0.035085782
3.1898295 0.035108441
3.1905070 0.035131087
3.1911846 0.035153723
3.1918622 0.035176346
3.1925397 0.035198960
3.1932173 0.035221560
3.1938948 0.035244151
3.1945724 0.035266728
3.1952499 0.035289294
3.1959274 0.035311849
3.1966049 0.035334392
3.1972825 0.035356924
3.1979600 0.035379446
3.1986375 0.035401955
3.1993150 0.035424453
3.1999925 0.035446937
3.2006700 0.035469412
3.2013475 0.035491876
3.2020250 0.035514327
3.2027024 0.035536768
3.2033799 0.035559197
3.2040574 0.035581614
3.2047348 0.035604019
3.2054123 0.035626414
3.2060898 0.035648797
3.2067672 0.035671169
3.2074446 0.035693530
3.2081221 0.035715877
3.2087995 0.035738215
3.2094769 0.035760541
3.2101544 0.035782854
3.2108318 0.035805158
3.2115092 0.035827449
3.2121866 0.035849730
3.2128640 0.035871997
3.2135414 0.035894255
3.2142188 0.035916501
3.2148962 0.035938736
3.2155736 0.035960958
3.2162509 0.035983170
3.2169283 0.036005370
3.2176057 0.036027559
3.2182831 0.036049737
3.2189604 0.036071903
3.2196378 0.036094056
3.2203151 0.036116199
3.2209925 0.036138331
3.2216698 0.036160452
3.2223471 0.036182561
3.2230244 0.036204658
3.2237018 0.036226746
3.2243791 0.036248821
3.2250564 0.036270884
3.2257337 0.036292936
3.2264110 0.036314976
3.2270883 0.036337007
3.2277656 0.036359024
3.2284429 0.036381030
3.2291202 0.036403027
3.2297974 0.036425010
3.2304747 0.036446983
3.2311520 0.036468945
3.2318292 0.036490894
3.2325065 0.036512833
3.2331837 0.036534761
3.2338610 0.036556677
3.2345382 0.036578582
3.2352155 0.036600475
3.2358927 0.036622357
3.2365699 0.036644227
3.2372471 0.036666086
3.2379244 0.036687935
3.2386016 0.036709771
3.2392788 0.036731597
3.2399560 0.036753411
3.2406332 0.036775214
3.2413104 0.036797006
3.2419876 0.036818785
3.2426647 0.036840554
3.2433419 0.036862312
3.2440191 0.036884059
3.2446962 0.036905794
3.2453734 0.036927517
3.2460506 0.036949230
3.2467277 0.036970931
3.2474049 0.036992621
3.2480820 0.037014299
3.2487591 0.037035966
3.2494363 0.037057623
3.2501134 0.037079267
3.2507905 0.037100902
3.2514676 0.037122524
3.2521447 0.037144134
3.2528218 0.037165735
3.2534989 0.037187324
3.2541760 0.037208900
3.2548531 0.037230466
3.2555302 0.037252021
3.2562073 0.037273565
3.2568844 0.037295097
3.2575614 0.037316618
3.2582385 0.037338128
3.2589155 0.037359627
3.2595926 0.037381115
3.2602696 0.037402591
3.2609467 0.037424056
3.2616237 0.037445509
3.2623008 0.037466952
3.2629778 0.037488383
3.2636548 0.037509803
3.2643318 0.037531212
3.2650088 0.037552610
3.2656859 0.037573996
3.2663629 0.037595372
3.2670399 0.037616735
3.2677169 0.037638088
3.2683938 0.037659430
3.2690708 0.037680761
3.2697478 0.037702080
3.2704248 0.037723387
3.2711017 0.037744685
3.2717787 0.037765971
3.2724557 0.037787246
3.2731326 0.037808509
3.2738096 0.037829761
3.2744865 0.037851003
3.2751634 0.037872232
3.2758404 0.037893451
3.2765173 0.037914658
3.2771942 0.037935854
3.2778711 0.037957041
3.2785481 0.037978214
3.2792250 0.037999377
3.2799019 0.038020529
3.2805788 0.038041671
3.2812557 0.038062800
3.2819325 0.038083919
3.2826094 0.038105025
3.2832863 0.038126121
3.2839632 0.038147207
3.2846400 0.038168280
3.2853169 0.038189344
3.2859938 0.038210396
3.2866706 0.038231436
3.2873475 0.038252465
3.2880243 0.038273484
3.2887011 0.038294492
3.2893780 0.038315488
3.2900548 0.038336472
3.2907316 0.038357446
3.2914084 0.038378409
3.2920852 0.038399361
3.2927620 0.038420301
