# wavenumber_(/cm) absorbance absorbance_unc
3307.9792164 2.136508036 0.360887700
3307.2364815 2.068495136 0.080866100
3306.4941893 2.065567136 0.037125600
3305.7522304 1.752027536 0.010203100
3305.0106043 1.759952536 0.168479800
3304.2693109 1.965656336 0.743356600
3303.5284591 1.897721136 0.260275400
3302.7878304 1.992917036 0.457444200
3302.0475336 1.996041836 0.506947600
3301.3075687 2.315001836 0.615212000
3300.5680443 2.257878536 0.360887700
3299.8287422 2.600958936 0.360887700
3299.0897712 2.259473036 0.360887700
3298.3512400 2.261485936 0.360887700
3297.6129305 2.299304736 0.106299700
3296.8750603 2.208096836 0.360887700
3296.1374115 2.138471736 0.360887700
3295.4002013 2.107688436 0.360887700
3294.6633208 2.102450236 0.360887700
3293.9267698 2.126275336 0.360887700
3293.1904396 2.130165336 0.360887700
3292.4545469 2.174046936 0.808781100
3291.7189831 2.268983436 0.360887700
3288.0461963 2.154691436 0.360887700
3287.3126006 2.096130236 0.360887700
3286.5793322 2.283796336 0.360887700
3285.8463908 2.297031436 0.360887700
3285.1138842 2.327680636 0.360887700
3284.3815963 2.418186836 0.360887700
3283.6497425 2.358326536 0.360887700
3282.9181071 2.395435936 0.360887700
3282.1869054 2.248203436 0.360887700
3281.4559216 2.219589436 0.360887700
3280.7253710 2.092691636 0.360887700
3279.9951456 2.038303736 0.471480000
3279.2652452 2.190798036 0.474053700
3278.5355621 1.989884036 0.203714300
3277.8063111 2.003299436 0.435103400
3277.0773844 2.091970936 0.360887700
3276.3487819 2.177680736 0.360887700
3275.6205032 2.018636236 0.360887700
3274.8925483 2.134583036 0.373633800
3274.1650241 2.117839436 0.360887700
3273.4377158 2.244027436 0.360887700
3272.7107307 2.658276236 0.360887700
3271.9840683 2.311866836 0.360887700
3271.2578356 2.280203336 0.360887700
3270.5318182 2.394703036 0.360887700
3269.8061231 2.231106236 0.360887700
3269.0808567 2.106619236 0.360887700
3268.3558052 2.199982736 1.688455200
3267.6311821 1.771850936 0.243980700
3266.9068802 2.056876436 0.360887700
3266.1827926 2.025565036 0.360887700
3265.4591325 2.041484536 0.360887700
3264.7357931 2.239056736 0.360887700
3260.4024771 2.574761436 0.362269500
3259.6813759 2.142858136 0.360887700
3258.9605936 2.431283936 0.360887700
3258.2401300 2.408195736 0.360887700
3257.5200910 2.346767536 0.360887700
3256.8002641 2.089061836 0.360887700
3256.0807552 2.193045236 0.360887700
3255.3616702 2.094573536 0.348894900
3254.6427968 2.091065136 0.114374600
3253.9243466 1.946827536 0.510887600
3253.2061078 1.907980736 0.311382700
3252.4882918 1.747117336 0.232564200
3251.7707924 1.935470936 0.305871300
3251.0536096 1.858549336 0.234658300
3250.3366374 1.925526236 0.513338800
3249.6200869 1.970162136 0.435581400
3248.9038523 1.955659636 0.541643100
3248.1879334 1.881369336 0.338777700
3247.4723299 1.969094836 0.323726700
3246.7570417 1.953365336 0.493132000
3246.0420684 2.128569236 0.362269500
3245.3274100 2.228221336 0.360887700
3244.6131715 2.218313236 0.360887700
3243.8991421 2.212382936 0.360887700
3243.1854269 2.271572636 0.360887700
3242.4721308 2.244296436 0.360887700
3241.7590433 2.180224936 0.362269500
3241.0462694 2.171827136 0.360887700
3240.3339138 2.080513736 0.360887700
3239.6218713 2.001266136 0.584344800
3238.9100368 1.801860936 0.346729100
3238.1986199 1.800913236 0.245420400
3237.4875154 2.005933436 0.212161300
3236.7766185 2.242790536 0.394758700
3236.0661383 2.214863336 0.534944800
3235.3559700 2.188093136 0.360887700
3234.6461134 2.147002536 0.360887700
3233.9365681 2.179388136 0.360887700
3233.2273341 2.323643836 0.360887700
