# wavelength_(μm) flux_(mJy) flux_unc_(mJy)
2.8714918 0.081637471 0.000789148
2.8721717 0.081436590 0.000745842
2.8728517 0.081382463 0.000816444
2.8735316 0.081293898 0.000747739
2.8742115 0.079428070 0.000722223
2.8748915 0.078638731 0.000694645
2.8755714 0.077943578 0.000678885
2.8762513 0.077943578 0.000662063
2.8769312 0.074744743 0.000651534
2.8776111 0.074232492 0.000642258
2.8782910 0.074232492 0.000615340
2.8789709 0.074049679 0.000609022
2.8796508 0.069890354 0.000638875
2.8803306 0.069534443 0.000620092
2.8810105 0.068434141 0.000627668
2.8816904 0.064078676 0.000639904
2.8823703 0.062677431 0.000610838
2.8830501 0.062015230 0.000622230
2.8837300 0.061452920 0.000593996
2.8844098 0.061415215 0.000592955
2.8850897 0.060747390 0.000618440
2.8857695 0.057389906 0.000620332
2.8864493 0.057389906 0.000606644
2.8871292 0.055754439 0.000570279
2.8878090 0.054751704 0.000555908
2.8884888 0.054751704 0.000526162
2.8891686 0.053712183 0.000525040
2.8898484 0.053262946 0.000520436
2.8905283 0.052297486 0.000491300
2.8912081 0.049944685 0.000508935
2.8918878 0.049571154 0.000548742
2.8925676 0.049571154 0.000550178
2.8932474 0.048724151 0.000547054
2.8939272 0.048129538 0.000524316
2.8946070 0.046188097 0.000502924
2.8952867 0.046188097 0.000505498
2.8959665 0.045896038 0.000503888
2.8966463 0.043706271 0.000507937
2.8973260 0.043706271 0.000498216
2.8980058 0.043653641 0.000443254
2.8986855 0.043092299 0.000432705
2.8993653 0.042193724 0.000432575
2.9000450 0.039356022 0.000444310
2.9007247 0.039356022 0.000443224
2.9014045 0.039315609 0.000476064
2.9020842 0.039348365 0.000481457
2.9027639 0.039348365 0.000468435
2.9034436 0.039348150 0.000454138
2.9041233 0.039315609 0.000447286
2.9048030 0.036599544 0.000423896
2.9054827 0.035654328 0.000448110
2.9061624 0.035654328 0.000450947
2.9068421 0.035238876 0.000435355
2.9075217 0.034304469 0.000435476
2.9082014 0.033369081 0.000412158
2.9088811 0.033364571 0.000395986
2.9095607 0.031593034 0.000405740
2.9102404 0.030766131 0.000414954
2.9109201 0.029524725 0.000419504
2.9115997 0.030766131 0.000426756
2.9122794 0.030766131 0.000435353
2.9129590 0.030434869 0.000403439
2.9136386 0.030434869 0.000411995
2.9143183 0.030434869 0.000403773
2.9149979 0.030281586 0.000373626
2.9156775 0.030281586 0.000369765
2.9163571 0.028659802 0.000376080
2.9170367 0.027996866 0.000394656
2.9177163 0.027996866 0.000390801
2.9183959 0.027996866 0.000397008
2.9190755 0.027583393 0.000406872
2.9197551 0.026584516 0.000399279
2.9204347 0.026089754 0.000384043
2.9211143 0.025942682 0.000369040
2.9217938 0.024059376 0.000376983
2.9224734 0.023072846 0.000364879
2.9231530 0.023592551 0.000358848
2.9238325 0.023072846 0.000364420
2.9245121 0.022916855 0.000358351
2.9251916 0.022916855 0.000355517
2.9258712 0.022561132 0.000353428
2.9265507 0.022468808 0.000341458
2.9272302 0.020455103 0.000333081
2.9279098 0.020455103 0.000325238
2.9285893 0.020141011 0.000346137
2.9292688 0.018355376 0.000356630
2.9299483 0.018355376 0.000364535
2.9306278 0.018355376 0.000366278
2.9313073 0.018355376 0.000383186
2.9319868 0.019524317 0.000380238
2.9326663 0.019524317 0.000372924
2.9333458 0.018565702 0.000379495
2.9340253 0.018565702 0.000402809
2.9347047 0.018565702 0.000373782
2.9353842 0.018367424 0.000384902
2.9360637 0.018565702 0.000332140
2.9367431 0.018410358 0.000335176
2.9374226 0.017685585 0.000322078
2.9381021 0.017685585 0.000312391
2.9387815 0.016982171 0.000332984
2.9394609 0.016982171 0.000326819
2.9401404 0.015737055 0.000350947
2.9408198 0.016298557 0.000364430
2.9414992 0.015009710 0.000356032
2.9421787 0.014959773 0.000336481
2.9428581 0.014959773 0.000338405
2.9435375 0.015163226 0.000347065
2.9442169 0.014959773 0.000319806
2.9448963 0.014121430 0.000315817
2.9455757 0.015163226 0.000299475
2.9462551 0.015163226 0.000305945
2.9469345 0.014555780 0.000291129
2.9476138 0.014636052 0.000292520
2.9482932 0.014636052 0.000308118
2.9489726 0.014555780 0.000299765
2.9496520 0.014555780 0.000306882
2.9503313 0.014636052 0.000329543
2.9510107 0.014211902 0.000317834
2.9516900 0.014489776 0.000300290
2.9523694 0.014489776 0.000280061
2.9530487 0.013713130 0.000303760
2.9537280 0.013368316 0.000284772
2.9544074 0.013368316 0.000297473
2.9550867 0.013057818 0.000295355
2.9557660 0.012926791 0.000294350
2.9564453 0.012926791 0.000281384
2.9571246 0.013057818 0.000253483
2.9578039 0.012926791 0.000276516
2.9584832 0.013541691 0.000284310
2.9591625 0.013541691 0.000275029
2.9598418 0.012869825 0.000261406
2.9605211 0.012624919 0.000267435
2.9612004 0.012299156 0.000275940
2.9618797 0.012299156 0.000292049
2.9625589 0.011259278 0.000306931
2.9632382 0.011259278 0.000304128
2.9639175 0.011259278 0.000302200
2.9645967 0.011215875 0.000290251
2.9652760 0.010901088 0.000289642
2.9659552 0.010456084 0.000270354
2.9666344 0.010456084 0.000265661
2.9673137 0.010456084 0.000268706
2.9679929 0.010901088 0.000271095
2.9686721 0.009913925 0.000282107
2.9693513 0.010643930 0.000288703
2.9700306 0.010457967 0.000271418
2.9707098 0.010457967 0.000272175
2.9713890 0.010457967 0.000269815
2.9720682 0.010634931 0.000258846
2.9727474 0.010634931 0.000258904
2.9734266 0.010634931 0.000257008
2.9741057 0.010885689 0.000251949
2.9747849 0.010885689 0.000246223
2.9754641 0.010885689 0.000245760
2.9761433 0.010263224 0.000253541
2.9768224 0.010752013 0.000252562
2.9775016 0.010752013 0.000264916
2.9781807 0.010752013 0.000294156
2.9788599 0.010752013 0.000305488
2.9795390 0.010786673 0.000298062
2.9802182 0.010786673 0.000296173
2.9808973 0.009182994 0.000279048
2.9815764 0.008534901 0.000283823
2.9822555 0.008420705 0.000277047
2.9829347 0.008420705 0.000266814
2.9836138 0.008420705 0.000253129
2.9842929 0.009219060 0.000245476
2.9849720 0.009269884 0.000262314
2.9856511 0.009547419 0.000273175
2.9863302 0.009844215 0.000287245
2.9870093 0.009844215 0.000287770
2.9876883 0.009547419 0.000271523
2.9883674 0.009172577 0.000315741
2.9890465 0.008798540 0.000305203
2.9897256 0.008798540 0.000296249
2.9904046 0.008798540 0.000273425
2.9910837 0.009104619 0.000284649
2.9917627 0.009212512 0.000282359
2.9924418 0.009764868 0.000267558
2.9931208 0.009891470 0.000273467
2.9937998 0.010382823 0.000262547
2.9944789 0.009891470 0.000278564
2.9951579 0.009891470 0.000262740
2.9958369 0.009727542 0.000264306
2.9965159 0.009727542 0.000269064
2.9971950 0.009309894 0.000276894
2.9978740 0.009727542 0.000277857
2.9985530 0.010140839 0.000262220
2.9992320 0.010140839 0.000254171
2.9999110 0.009752692 0.000251559
3.0005899 0.009752692 0.000271747
3.0012689 0.009224198 0.000275481
3.0019479 0.009224198 0.000275602
3.0026269 0.009224198 0.000268904
3.0033058 0.009333222 0.000260377
3.0039848 0.009593924 0.000258612
3.0046637 0.010077474 0.000256088
3.0053427 0.009954198 0.000256314
3.0060216 0.009954198 0.000245782
3.0067006 0.010077474 0.000256779
3.0073795 0.009954198 0.000237529
3.0080584 0.009911926 0.000238512
3.0087374 0.009729598 0.000256430
3.0094163 0.008406851 0.000250170
3.0100952 0.008183308 0.000255537
3.0107741 0.008183308 0.000261007
3.0114530 0.008174412 0.000300729
3.0121319 0.008183308 0.000279927
3.0128108 0.008614274 0.000280024
3.0134897 0.009187663 0.000252458
3.0141686 0.009462057 0.000244974
3.0148475 0.009462057 0.000233463
3.0155263 0.008865637 0.000241768
3.0162052 0.008865637 0.000254554
3.0168841 0.008865637 0.000257408
3.0175629 0.008865637 0.000265943
3.0182418 0.008865637 0.000307576
3.0189206 0.008718831 0.000285250
3.0195995 0.009331197 0.000241534
3.0202783 0.009320623 0.000234881
3.0209572 0.008718831 0.000235663
3.0216360 0.008923785 0.000263925
3.0223148 0.009320623 0.000257808
3.0229936 0.008923785 0.000253406
3.0236725 0.008118796 0.000243210
3.0243513 0.008118796 0.000241279
3.0250301 0.007780141 0.000257846
3.0257089 0.007780141 0.000263300
3.0263877 0.007780141 0.000276835
3.0270664 0.007858578 0.000290308
3.0277452 0.007858578 0.000274594
3.0284240 0.008706234 0.000297552
3.0291028 0.007971766 0.000268419
3.0297815 0.007971766 0.000254051
3.0304603 0.007705533 0.000264845
3.0311391 0.007971766 0.000282101
3.0318178 0.007971766 0.000250465
3.0324966 0.008017811 0.000231612
3.0331753 0.008416851 0.000231680
3.0338541 0.008416851 0.000230938
3.0345328 0.008148132 0.000235797
3.0352115 0.008148132 0.000228528
3.0358902 0.008148132 0.000230725
3.0365690 0.008148132 0.000239407
3.0372477 0.008213362 0.000250060
3.0379264 0.009254329 0.000247591
3.0386051 0.009053629 0.000248102
3.0392838 0.009053629 0.000251180
3.0399625 0.009053629 0.000251744
3.0406412 0.009053629 0.000245182
3.0413198 0.008907275 0.000245563
3.0419985 0.008598219 0.000258987
3.0426772 0.008178603 0.000271478
3.0433559 0.008206408 0.000277210
3.0440345 0.008206408 0.000249402
3.0447132 0.008178603 0.000226793
3.0453918 0.006541872 0.000240482
3.0460705 0.006666765 0.000236534
3.0467491 0.006666765 0.000251760
3.0474278 0.006666765 0.000263893
3.0481064 0.007037314 0.000266002
3.0487850 0.007053362 0.000242217
3.0494636 0.007427648 0.000254233
3.0501423 0.007053362 0.000252259
3.0508209 0.007427648 0.000257759
3.0514995 0.007427648 0.000232742
3.0521781 0.006307504 0.000238709
3.0528567 0.006307504 0.000233565
3.0535353 0.007605466 0.000232448
3.0542138 0.008021028 0.000240300
3.0548924 0.008021028 0.000243396
3.0555710 0.008021028 0.000258797
3.0562496 0.007856620 0.000270169
3.0569281 0.007856620 0.000268911
3.0576067 0.007856620 0.000280586
3.0582853 0.007856620 0.000285415
3.0589638 0.007803632 0.000262303
3.0596424 0.007873591 0.000260608
3.0603209 0.007606787 0.000258982
3.0609994 0.006942237 0.000254409
3.0616780 0.006942237 0.000260122
3.0623565 0.007998530 0.000242805
3.0630350 0.008260155 0.000238719
3.0637135 0.008260155 0.000250893
3.0643920 0.008260155 0.000257217
3.0650705 0.008162759 0.000252247
3.0657490 0.007008347 0.000230714
3.0664275 0.006493305 0.000223666
3.0671060 0.007008347 0.000217429
3.0677845 0.007008347 0.000235083
3.0684630 0.008856384 0.000224361
3.0691415 0.008856384 0.000222938
3.0698199 0.008856384 0.000224003
3.0704984 0.008923580 0.000209211
3.0711769 0.008737249 0.000219924
3.0718553 0.008334358 0.000223142
3.0725338 0.008334358 0.000233135
3.0732122 0.008334358 0.000234197
3.0738907 0.008273287 0.000234735
3.0745691 0.008273287 0.000219709
3.0752475 0.008273287 0.000220419
3.0759259 0.008717102 0.000234633
3.0766044 0.008717102 0.000234338
3.0772828 0.008782795 0.000222637
3.0779612 0.009325221 0.000229133
3.0786396 0.009767195 0.000243366
3.0793180 0.009767195 0.000259081
3.0799964 0.009325221 0.000259948
3.0806748 0.008265460 0.000267765
3.0813532 0.008265460 0.000275555
3.0820315 0.008152775 0.000268273
3.0827099 0.007957898 0.000217012
3.0833883 0.008265460 0.000222352
3.0840666 0.008348656 0.000231178
3.0847450 0.007957898 0.000223139
3.0854234 0.007957898 0.000213970
3.0861017 0.008348656 0.000221242
3.0867800 0.008179683 0.000208219
3.0874584 0.008179683 0.000209659
3.0881367 0.009226643 0.000224235
3.0888150 0.009226643 0.000238648
3.0894934 0.008726962 0.000240962
3.0901717 0.009226643 0.000240373
3.0908500 0.008726962 0.000221067
3.0915283 0.008726962 0.000233045
3.0922066 0.008970748 0.000221653
3.0928849 0.009556439 0.000216955
3.0935632 0.008970748 0.000220416
3.0942415 0.008970748 0.000225021
3.0949198 0.008706364 0.000228966
3.0955981 0.008706364 0.000236196
3.0962763 0.008706364 0.000239975
3.0969546 0.008558143 0.000248316
3.0976329 0.008862268 0.000256761
3.0983111 0.008862268 0.000237651
3.0989894 0.008862268 0.000222325
3.0996676 0.008862268 0.000236544
3.1003459 0.009043457 0.000228488
3.1010241 0.009043457 0.000214172
3.1017023 0.009713560 0.000235221
