# wavenumber_(/cm) absorbance absorbance_unc
3736.6694318 -0.001095407 0.003111100
3735.2681026 -0.001966707 0.003479600
3733.8678241 -0.009075007 0.003152500
3732.4685950 -0.013235307 0.003522300
3731.0704143 -0.008980307 0.003882100
3729.6732806 -0.011085407 0.004075800
3728.2771929 -0.014429407 0.003745400
3726.8821500 -0.010996907 0.003676100
3725.4881507 -0.010320707 0.003527000
3724.0951938 -0.019010007 0.003778300
3722.7032782 -0.016633207 0.003562800
3721.3124027 -0.011599607 0.003291500
3719.9225661 -0.017327107 0.003700900
3718.5337673 -0.016976507 0.003381800
3717.1460050 -0.009008407 0.003118300
3715.7592783 -0.003340307 0.003399500
3714.3735858 0.000917593 0.003685200
3712.9889264 0.022472593 0.003783600
3711.6052990 0.029267593 0.003885800
3710.2227024 0.028228293 0.003320700
3708.8411355 0.025576293 0.003476100
3707.4605971 0.027067393 0.003507000
3706.0810861 0.031758393 0.003869700
3704.7026013 0.046405093 0.003706900
3703.3251416 0.050428893 0.003810200
3701.9487058 0.056431493 0.003527400
3700.5732928 0.051945693 0.003816100
3699.1989015 0.039147593 0.003768700
3697.8255307 0.027956093 0.003736000
3696.4531792 0.020128093 0.003954600
3695.0818461 0.007170393 0.004024800
3693.7115300 0.000507093 0.004155100
3692.3422299 -0.002747607 0.004185500
3690.9739447 -0.005793107 0.004004700
3689.6066732 0.004649193 0.004029700
3688.2404143 -0.008224207 0.004227200
3686.8751668 -0.008753707 0.003337900
3685.5109298 -0.008193707 0.003740400
3684.1477019 -0.009930807 0.003304200
3682.7854822 -0.015407407 0.003187600
3681.4242694 -0.018210807 0.003460000
3680.0640626 -0.020377707 0.003449500
3678.7048605 -0.016636807 0.003286300
3677.3466620 -0.018857607 0.003552400
3675.9894661 0.001738793 0.004068400
3674.6332716 0.000418093 0.003935700
3673.2780774 -0.000904807 0.003344600
3671.9238825 0.005378793 0.003264000
3670.5706856 -0.001894707 0.003467600
3669.2184858 0.007619693 0.003799500
3667.8672819 0.021780793 0.003453800
3666.5170728 0.024299193 0.003796400
3665.1678574 0.031258493 0.003559600
3663.8196346 0.020612193 0.004635900
3662.4724033 0.016737593 0.004543700
3661.1261624 0.022671793 0.003699000
3659.7809109 0.030193293 0.003799300
3658.4366476 0.045302893 0.003705800
3657.0933714 0.056107293 0.003565500
3655.7510814 0.049313793 0.003722700
3654.4097763 0.064094493 0.003557400
3653.0694551 0.056186693 0.004345100
3651.7301167 0.054529293 0.003949400
3650.3917600 0.048254593 0.003914700
3649.0543840 0.039120293 0.003554900
3647.7179876 0.043737693 0.003824400
3646.3825697 0.038061593 0.003647300
3645.0481292 0.038783293 0.003957700
3643.7146651 0.047154493 0.003517400
3642.3821762 0.057762393 0.003830900
3641.0506616 0.051094393 0.004093900
3639.7201201 0.055905593 0.003919400
3638.3905507 0.052381493 0.003400300
3637.0619523 0.040416193 0.003504500
3635.7343238 0.040868793 0.003658100
3634.4076642 0.043242893 0.004074700
3633.0819725 0.054431493 0.003524900
3631.7572475 0.061020793 0.003773400
3630.4334883 0.058956493 0.003291700
3629.1106937 0.050007893 0.003632400
3627.7888627 0.053666793 0.003998600
3626.4679942 0.057631293 0.003633700
3625.1480873 0.051583693 0.003787800
3623.8291408 0.059266293 0.003967600
3622.5111537 0.061733793 0.003541200
3621.1941250 0.064341993 0.004131800
3619.8780535 0.063670493 0.003863900
3618.5629384 0.056800893 0.004385000
3617.2487785 0.068646693 0.003207200
3615.9355727 0.079291793 0.003608200
3614.6233201 0.072270493 0.003632400
3613.3120196 0.073167393 0.003239800
3612.0016702 0.070153893 0.003757500
3610.6922708 0.064731793 0.003581900
3609.3838204 0.076735593 0.002994700
3608.0763180 0.071411893 0.003355400
3606.7697626 0.068488893 0.003561600
3605.4641530 0.083175793 0.003570200
3604.1594884 0.097477093 0.004248000
3602.8557676 0.095063993 0.003782100
3601.5529896 0.107009693 0.003715000
3600.2511535 0.105180793 0.003547100
3598.9502582 0.097294493 0.003228700
3597.6503026 0.096146593 0.002961600
3596.3512858 0.102065593 0.003304300
3595.0532068 0.108194693 0.003021800
3593.7560645 0.118296893 0.003255400
3592.4598579 0.116552393 0.003464700
