# wavenumber_(/cm) absorbance absorbance_unc
3693.7115300 0.0022555 0.0041551
3692.3422299 -0.0009992 0.0041855
3690.9739447 -0.0040447 0.0040047
3689.6066732 0.0063976 0.0040297
3688.2404143 -0.0064758 0.0042272
3686.8751668 -0.0070053 0.0033379
3685.5109298 -0.0064453 0.0037404
3684.1477019 -0.0081824 0.0033042
3682.7854822 -0.0136590 0.0031876
3681.4242694 -0.0164624 0.0034600
3680.0640626 -0.0186293 0.0034495
3678.7048605 -0.0148884 0.0032863
3677.3466620 -0.0171092 0.0035524
3675.9894661 0.0034872 0.0040684
3674.6332716 0.0021665 0.0039357
3673.2780774 0.0008436 0.0033446
3671.9238825 0.0071272 0.0032640
3670.5706856 -0.0001463 0.0034676
3669.2184858 0.0093681 0.0037995
3667.8672819 0.0235292 0.0034538
3666.5170728 0.0260476 0.0037964
3665.1678574 0.0330069 0.0035596
3663.8196346 0.0223606 0.0046359
3662.4724033 0.0184860 0.0045437
3661.1261624 0.0244202 0.0036990
3659.7809109 0.0319417 0.0037993
3658.4366476 0.0470513 0.0037058
3657.0933714 0.0578557 0.0035655
3655.7510814 0.0510622 0.0037227
3654.4097763 0.0658429 0.0035574
3653.0694551 0.0579351 0.0043451
3651.7301167 0.0562777 0.0039494
3650.3917600 0.0500030 0.0039147
3649.0543840 0.0408687 0.0035549
3647.7179876 0.0454861 0.0038244
3646.3825697 0.0398100 0.0036473
3645.0481292 0.0405317 0.0039577
3643.7146651 0.0489029 0.0035174
3642.3821762 0.0595108 0.0038309
3641.0506616 0.0528428 0.0040939
3639.7201201 0.0576540 0.0039194
3638.3905507 0.0541299 0.0034003
3637.0619523 0.0421646 0.0035045
3635.7343238 0.0426172 0.0036581
3634.4076642 0.0449913 0.0040747
3633.0819725 0.0561799 0.0035249
3631.7572475 0.0627692 0.0037734
3630.4334883 0.0607049 0.0032917
3629.1106937 0.0517563 0.0036324
3627.7888627 0.0554152 0.0039986
3626.4679942 0.0593797 0.0036337
3625.1480873 0.0533321 0.0037878
3623.8291408 0.0610147 0.0039676
3622.5111537 0.0634822 0.0035412
3621.1941250 0.0660904 0.0041318
3619.8780535 0.0654189 0.0038639
3618.5629384 0.0585493 0.0043850
3617.2487785 0.0703951 0.0032072
3615.9355727 0.0810402 0.0036082
3614.6233201 0.0740189 0.0036324
3613.3120196 0.0749158 0.0032398
3612.0016702 0.0719023 0.0037575
3610.6922708 0.0664802 0.0035819
3609.3838204 0.0784840 0.0029947
3608.0763180 0.0731603 0.0033554
