# wavelength_(/cm) continuum_(mJy)
2.8558517 0.385447200
2.8565318 0.385716830
2.8572118 0.385986010
2.8578919 0.386254740
2.8585719 0.386523010
2.8592520 0.386790830
2.8599320 0.387058200
2.8606120 0.387325130
2.8612921 0.387591600
2.8619721 0.387857620
2.8626521 0.388123200
2.8633321 0.388388330
2.8640121 0.388653010
2.8646921 0.388917250
2.8653721 0.389181040
2.8660521 0.389444390
2.8667321 0.389707300
2.8674120 0.389969770
2.8680920 0.390231790
2.8687720 0.390493370
2.8694519 0.390754520
2.8701319 0.391015220
2.8708118 0.391275480
2.8714918 0.391535310
2.8721717 0.391794700
2.8728517 0.392053660
2.8735316 0.392312180
2.8742115 0.392570260
2.8748915 0.392827910
2.8755714 0.393085130
2.8762513 0.393341910
2.8769312 0.393598270
2.8776111 0.393854190
2.8782910 0.394109680
2.8789709 0.394364750
2.8796508 0.394619380
2.8803306 0.394873590
2.8810105 0.395127370
2.8816904 0.395380720
2.8823703 0.395633650
2.8830501 0.395886150
2.8837300 0.396138230
2.8844098 0.396389880
2.8850897 0.396641120
2.8857695 0.396891930
2.8864493 0.397142320
2.8871292 0.397392290
2.8878090 0.397641830
2.8884888 0.397890970
2.8891686 0.398139680
2.8898484 0.398387970
2.8905283 0.398635850
2.8912081 0.398883310
2.8918878 0.399130360
2.8925676 0.399376990
2.8932474 0.399623210
2.8939272 0.399869010
2.8946070 0.400114400
2.8952867 0.400359380
2.8959665 0.400603950
2.8966463 0.400848110
2.8973260 0.401091860
2.8980058 0.401335200
2.8986855 0.401578140
2.8993653 0.401820660
2.9000450 0.402062780
2.9007247 0.402304490
2.9014045 0.402545800
2.9020842 0.402786700
2.9027639 0.403027200
2.9034436 0.403267300
2.9041233 0.403507000
2.9048030 0.403746290
2.9054827 0.403985180
2.9061624 0.404223670
2.9068421 0.404461760
2.9075217 0.404699460
2.9082014 0.404936750
2.9088811 0.405173650
2.9095607 0.405410150
2.9102404 0.405646260
2.9109201 0.405881970
2.9115997 0.406117290
2.9122794 0.406352210
2.9129590 0.406586740
2.9136386 0.406820870
2.9143183 0.407054620
2.9149979 0.407287970
2.9156775 0.407520940
2.9163571 0.407753510
2.9170367 0.407985700
2.9177163 0.408217500
2.9183959 0.408448910
2.9190755 0.408679930
2.9197551 0.408910570
2.9204347 0.409140820
2.9211143 0.409370680
2.9217938 0.409600170
2.9224734 0.409829270
2.9231530 0.410057980
2.9238325 0.410286320
2.9245121 0.410514270
2.9251916 0.410741850
2.9258712 0.410969040
2.9265507 0.411195850
2.9272302 0.411422290
2.9279098 0.411648350
2.9285893 0.411874030
2.9292688 0.412099330
2.9299483 0.412324260
2.9306278 0.412548820
2.9313073 0.412773000
2.9319868 0.412996800
2.9326663 0.413220230
2.9333458 0.413443300
2.9340253 0.413665980
2.9347047 0.413888300
2.9353842 0.414110250
2.9360637 0.414331830
2.9367431 0.414553040
2.9374226 0.414773880
2.9381021 0.414994350
2.9387815 0.415214460
2.9394609 0.415434200
2.9401404 0.415653570
2.9408198 0.415872580
2.9414992 0.416091230
2.9421787 0.416309510
2.9428581 0.416527430
2.9435375 0.416744980
2.9442169 0.416962180
2.9448963 0.417179010
2.9455757 0.417395490
2.9462551 0.417611600
2.9469345 0.417827360
2.9476138 0.418042750
2.9482932 0.418257790
2.9489726 0.418472480
2.9496520 0.418686800
2.9503313 0.418900770
2.9510107 0.419114390
2.9516900 0.419327650
2.9523694 0.419540560
2.9530487 0.419753110
2.9537280 0.419965320
2.9544074 0.420177170
2.9550867 0.420388670
2.9557660 0.420599820
2.9564453 0.420810620
2.9571246 0.421021070
2.9578039 0.421231170
2.9584832 0.421440920
2.9591625 0.421650330
2.9598418 0.421859390
2.9605211 0.422068110
2.9612004 0.422276480
2.9618797 0.422484500
2.9625589 0.422692180
2.9632382 0.422899520
2.9639175 0.423106520
2.9645967 0.423313170
2.9652760 0.423519480
2.9659552 0.423725460
2.9666344 0.423931090
2.9673137 0.424136380
2.9679929 0.424341330
2.9686721 0.424545950
2.9693513 0.424750230
2.9700306 0.424954170
2.9707098 0.425157770
2.9713890 0.425361040
2.9720682 0.425563980
2.9727474 0.425766580
2.9734266 0.425968840
2.9741057 0.426170780
2.9747849 0.426372380
2.9754641 0.426573650
2.9761433 0.426774580
2.9768224 0.426975190
2.9775016 0.427175470
2.9781807 0.427375420
2.9788599 0.427575040
2.9795390 0.427774330
2.9802182 0.427973290
2.9808973 0.428171930
2.9815764 0.428370240
2.9822555 0.428568220
2.9829347 0.428765880
2.9836138 0.428963220
2.9842929 0.429160230
2.9849720 0.429356920
2.9856511 0.429553290
2.9863302 0.429749330
2.9870093 0.429945060
2.9876883 0.430140460
2.9883674 0.430335540
2.9890465 0.430530310
2.9897256 0.430724750
2.9904046 0.430918880
2.9910837 0.431112690
2.9917627 0.431306180
2.9924418 0.431499350
2.9931208 0.431692210
2.9937998 0.431884760
2.9944789 0.432076990
2.9951579 0.432268910
2.9958369 0.432460510
2.9965159 0.432651800
2.9971950 0.432842780
2.9978740 0.433033440
2.9985530 0.433223800
2.9992320 0.433413840
2.9999110 0.433603580
3.0005899 0.433793010
3.0012689 0.433982120
3.0019479 0.434170930
3.0026269 0.434359440
3.0033058 0.434547630
3.0039848 0.434735520
3.0046637 0.434923110
3.0053427 0.435110390
3.0060216 0.435297360
3.0067006 0.435484030
3.0073795 0.435670400
3.0080584 0.435856470
3.0087374 0.436042230
3.0094163 0.436227690
3.0100952 0.436412850
3.0107741 0.436597720
3.0114530 0.436782280
3.0121319 0.436966540
3.0128108 0.437150500
3.0134897 0.437334170
3.0141686 0.437517540
3.0148475 0.437700610
3.0155263 0.437883390
3.0162052 0.438065870
3.0168841 0.438248050
3.0175629 0.438429940
3.0182418 0.438611540
3.0189206 0.438792850
3.0195995 0.438973860
3.0202783 0.439154580
3.0209572 0.439335000
3.0216360 0.439515140
3.0223148 0.439694990
3.0229936 0.439874540
3.0236725 0.440053810
3.0243513 0.440232790
3.0250301 0.440411480
3.0257089 0.440589880
3.0263877 0.440768000
3.0270664 0.440945830
3.0277452 0.441123370
3.0284240 0.441300630
3.0291028 0.441477610
3.0297815 0.441654300
3.0304603 0.441830700
3.0311391 0.442006830
3.0318178 0.442182670
3.0324966 0.442358230
3.0331753 0.442533510
3.0338541 0.442708500
3.0345328 0.442883220
3.0352115 0.443057660
3.0358902 0.443231820
3.0365690 0.443405700
3.0372477 0.443579300
3.0379264 0.443752630
3.0386051 0.443925670
3.0392838 0.444098450
3.0399625 0.444270940
3.0406412 0.444443160
3.0413198 0.444615110
3.0419985 0.444786780
3.0426772 0.444958180
3.0433559 0.445129310
3.0440345 0.445300160
3.0447132 0.445470740
3.0453918 0.445641050
3.0460705 0.445811090
3.0467491 0.445980860
3.0474278 0.446150360
3.0481064 0.446319590
3.0487850 0.446488550
3.0494636 0.446657250
3.0501423 0.446825670
3.0508209 0.446993830
3.0514995 0.447161720
3.0521781 0.447329350
3.0528567 0.447496710
3.0535353 0.447663810
3.0542138 0.447830640
3.0548924 0.447997210
3.0555710 0.448163520
3.0562496 0.448329560
3.0569281 0.448495340
3.0576067 0.448660860
3.0582853 0.448826120
3.0589638 0.448991120
3.0596424 0.449155860
3.0603209 0.449320340
3.0609994 0.449484560
3.0616780 0.449648520
3.0623565 0.449812220
3.0630350 0.449975670
3.0637135 0.450138860
3.0643920 0.450301790
3.0650705 0.450464470
3.0657490 0.450626890
3.0664275 0.450789060
3.0671060 0.450950970
3.0677845 0.451112630
3.0684630 0.451274040
3.0691415 0.451435190
3.0698199 0.451596090
3.0704984 0.451756740
3.0711769 0.451917140
3.0718553 0.452077290
3.0725338 0.452237190
3.0732122 0.452396840
3.0738907 0.452556240
3.0745691 0.452715390
3.0752475 0.452874300
3.0759259 0.453032950
3.0766044 0.453191360
3.0772828 0.453349530
3.0779612 0.453507450
3.0786396 0.453665120
3.0793180 0.453822540
3.0799964 0.453979730
3.0806748 0.454136670
3.0813532 0.454293360
3.0820315 0.454449810
3.0827099 0.454606030
3.0833883 0.454761990
3.0840666 0.454917720
3.0847450 0.455073210
3.0854234 0.455228450
3.0861017 0.455383460
3.0867800 0.455538230
3.0874584 0.455692760
3.0881367 0.455847050
3.0888150 0.456001100
3.0894934 0.456154910
3.0901717 0.456308490
3.0908500 0.456461840
3.0915283 0.456614940
3.0922066 0.456767810
3.0928849 0.456920450
3.0935632 0.457072850
3.0942415 0.457225020
3.0949198 0.457376950
3.0955981 0.457528660
3.0962763 0.457680120
3.0969546 0.457831360
3.0976329 0.457982370
3.0983111 0.458133140
3.0989894 0.458283690
3.0996676 0.458434010
3.1003459 0.458584090
3.1010241 0.458733950
3.1017023 0.458883580
3.1023806 0.459032980
3.1030588 0.459182150
3.1037370 0.459331100
3.1044152 0.459479820
3.1050934 0.459628310
3.1057716 0.459776580
3.1064498 0.459924620
3.1071280 0.460072440
3.1078062 0.460220040
3.1084844 0.460367410
3.1091625 0.460514550
3.1098407 0.460661480
3.1105189 0.460808180
3.1111970 0.460954660
3.1118752 0.461100920
3.1125534 0.461246960
3.1132315 0.461392780
3.1139096 0.461538380
3.1145878 0.461683760
3.1152659 0.461828920
3.1159440 0.461973870
3.1166222 0.462118590
3.1173003 0.462263100
3.1179784 0.462407390
3.1186565 0.462551470
3.1193346 0.462695320
3.1200127 0.462838970
3.1206908 0.462982390
3.1213689 0.463125610
3.1220469 0.463268610
3.1227250 0.463411390
3.1234031 0.463553960
3.1240812 0.463696320
3.1247592 0.463838470
3.1254373 0.463980400
3.1261153 0.464122130
3.1267934 0.464263640
3.1274714 0.464404940
3.1281494 0.464546040
3.1288275 0.464686920
3.1295055 0.464827590
3.1301835 0.464968060
3.1308615 0.465108310
3.1315395 0.465248360
3.1322176 0.465388210
3.1328955 0.465527840
3.1335735 0.465667270
3.1342515 0.465806490
3.1349295 0.465945510
3.1356075 0.466084320
3.1362855 0.466222930
3.1369634 0.466361330
3.1376414 0.466499530
3.1383194 0.466637530
3.1389973 0.466775330
3.1396753 0.466912920
3.1403532 0.467050310
3.1410312 0.467187500
3.1417091 0.467324490
3.1423870 0.467461270
3.1430649 0.467597860
3.1437429 0.467734250
3.1444208 0.467870440
3.1450987 0.468006430
3.1457766 0.468142220
3.1464545 0.468277810
3.1471324 0.468413210
3.1478103 0.468548410
3.1484881 0.468683410
3.1491660 0.468818220
3.1498439 0.468952830
3.1505218 0.469087240
3.1511996 0.469221460
3.1518775 0.469355490
3.1525553 0.469489320
3.1532332 0.469622960
3.1539110 0.469756410
3.1545889 0.469889660
3.1552667 0.470022720
3.1559445 0.470155590
3.1566224 0.470288270
3.1573002 0.470420760
3.1579780 0.470553050
3.1586558 0.470685160
3.1593336 0.470817080
3.1600114 0.470948800
3.1606892 0.471080340
3.1613670 0.471211690
3.1620448 0.471342860
3.1627225 0.471473830
3.1634003 0.471604620
3.1640781 0.471735220
3.1647558 0.471865640
3.1654336 0.471995870
3.1661113 0.472125910
3.1667891 0.472255770
3.1674668 0.472385440
3.1681446 0.472514930
3.1688223 0.472644240
3.1695000 0.472773360
3.1701777 0.472902300
3.1708555 0.473031060
3.1715332 0.473159640
3.1722109 0.473288030
3.1728886 0.473416250
3.1735663 0.473544280
3.1742440 0.473672130
3.1749217 0.473799800
3.1755993 0.473927290
3.1762770 0.474054610
3.1769547 0.474181740
3.1776324 0.474308700
3.1783100 0.474435480
3.1789877 0.474562080
3.1796653 0.474688500
3.1803430 0.474814750
3.1810206 0.474940820
3.1816982 0.475066710
3.1823759 0.475192430
3.1830535 0.475317980
3.1837311 0.475443340
3.1844087 0.475568540
3.1850863 0.475693560
3.1857639 0.475818410
3.1864415 0.475943080
3.1871191 0.476067580
3.1877967 0.476191910
3.1884743 0.476316070
3.1891519 0.476440060
3.1898295 0.476563870
3.1905070 0.476687520
3.1911846 0.476810990
3.1918622 0.476934300
3.1925397 0.477057430
3.1932173 0.477180400
3.1938948 0.477303190
3.1945724 0.477425820
3.1952499 0.477548280
3.1959274 0.477670580
3.1966049 0.477792700
3.1972825 0.477914660
3.1979600 0.478036450
3.1986375 0.478158080
3.1993150 0.478279540
3.1999925 0.478400840
3.2006700 0.478521970
3.2013475 0.478642940
3.2020250 0.478763740
3.2027024 0.478884380
3.2033799 0.479004850
3.2040574 0.479125170
3.2047348 0.479245320
3.2054123 0.479365300
3.2060898 0.479485130
3.2067672 0.479604790
3.2074446 0.479724300
3.2081221 0.479843640
3.2087995 0.479962830
3.2094769 0.480081850
3.2101544 0.480200710
3.2108318 0.480319420
3.2115092 0.480437960
3.2121866 0.480556350
3.2128640 0.480674580
3.2135414 0.480792650
3.2142188 0.480910570
3.2148962 0.481028330
3.2155736 0.481145930
3.2162509 0.481263370
3.2169283 0.481380660
3.2176057 0.481497800
3.2182831 0.481614780
3.2189604 0.481731600
3.2196378 0.481848270
3.2203151 0.481964790
3.2209925 0.482081150
3.2216698 0.482197360
3.2223471 0.482313420
3.2230244 0.482429320
3.2237018 0.482545070
3.2243791 0.482660670
3.2250564 0.482776120
3.2257337 0.482891420
3.2264110 0.483006570
3.2270883 0.483121570
3.2277656 0.483236420
3.2284429 0.483351110
3.2291202 0.483465660
3.2297974 0.483580060
3.2304747 0.483694320
3.2311520 0.483808420
3.2318292 0.483922380
3.2325065 0.484036180
3.2331837 0.484149850
3.2338610 0.484263360
3.2345382 0.484376730
3.2352155 0.484489950
3.2358927 0.484603030
3.2365699 0.484715960
3.2372471 0.484828750
3.2379244 0.484941390
3.2386016 0.485053890
3.2392788 0.485166240
3.2399560 0.485278450
3.2406332 0.485390520
3.2413104 0.485502450
3.2419876 0.485614230
3.2426647 0.485725870
3.2433419 0.485837370
3.2440191 0.485948730
3.2446962 0.486059940
3.2453734 0.486171020
3.2460506 0.486281950
3.2467277 0.486392750
3.2474049 0.486503400
3.2480820 0.486613920
3.2487591 0.486724300
3.2494363 0.486834530
3.2501134 0.486944630
3.2507905 0.487054600
3.2514676 0.487164420
3.2521447 0.487274110
3.2528218 0.487383660
3.2534989 0.487493070
3.2541760 0.487602350
3.2548531 0.487711490
3.2555302 0.487820500
3.2562073 0.487929370
3.2568844 0.488038100
3.2575614 0.488146700
3.2582385 0.488255170
3.2589155 0.488363500
3.2595926 0.488471700
3.2602696 0.488579770
3.2609467 0.488687700
3.2616237 0.488795500
3.2623008 0.488903170
3.2629778 0.489010700
3.2636548 0.489118110
3.2643318 0.489225380
3.2650088 0.489332520
3.2656859 0.489439530
3.2663629 0.489546410
3.2670399 0.489653160
3.2677169 0.489759790
3.2683938 0.489866280
3.2690708 0.489972640
3.2697478 0.490078870
3.2704248 0.490184980
3.2711017 0.490290960
3.2717787 0.490396810
3.2724557 0.490502530
3.2731326 0.490608130
3.2738096 0.490713590
3.2744865 0.490818940
3.2751634 0.490924150
3.2758404 0.491029240
3.2765173 0.491134210
3.2771942 0.491239050
3.2778711 0.491343760
3.2785481 0.491448350
3.2792250 0.491552820
3.2799019 0.491657160
3.2805788 0.491761380
3.2812557 0.491865470
3.2819325 0.491969440
3.2826094 0.492073290
3.2832863 0.492177020
3.2839632 0.492280620
3.2846400 0.492384110
3.2853169 0.492487470
3.2859938 0.492590710
3.2866706 0.492693830
3.2873475 0.492796830
3.2880243 0.492899710
3.2887011 0.493002460
3.2893780 0.493105100
3.2900548 0.493207620
3.2907316 0.493310020
3.2914084 0.493412310
3.2920852 0.493514470
3.2927620 0.493616520
3.2934388 0.493718440
3.2941156 0.493820250
3.2947924 0.493921950
3.2954692 0.494023520
3.2961460 0.494124980
3.2968228 0.494226330
3.2974995 0.494327550
3.2981763 0.494428670
3.2988531 0.494529660
3.2995298 0.494630540
3.3002066 0.494731310
3.3008833 0.494831960
3.3015601 0.494932500
3.3022368 0.495032920
3.3029135 0.495133230
3.3035903 0.495233430
3.3042670 0.495333510
3.3049437 0.495433490
3.3056204 0.495533340
3.3062971 0.495633090
3.3069738 0.495732730
3.3076505 0.495832250
3.3083272 0.495931660
3.3090039 0.496030960
3.3096806 0.496130150
3.3103572 0.496229230
3.3110339 0.496328200
3.3117106 0.496427060
3.3123872 0.496525810
3.3130639 0.496624450
3.3137405 0.496722980
3.3144172 0.496821400
3.3150938 0.496919720
3.3157704 0.497017930
3.3164471 0.497116020
3.3171237 0.497214010
3.3178003 0.497311900
3.3184769 0.497409670
3.3191535 0.497507340
3.3198301 0.497604910
3.3205067 0.497702360
3.3211833 0.497799720
3.3218599 0.497896960
3.3225365 0.497994100
3.3232131 0.498091140
3.3238897 0.498188070
3.3245662 0.498284890
3.3252428 0.498381610
3.3259194 0.498478230
3.3265959 0.498574750
3.3272725 0.498671160
3.3279490 0.498767460
3.3286255 0.498863670
3.3293021 0.498959770
3.3299786 0.499055770
3.3306551 0.499151670
3.3313316 0.499247460
3.3320082 0.499343160
3.3326847 0.499438750
3.3333612 0.499534240
3.3340377 0.499629630
3.3347142 0.499724920
3.3353906 0.499820110
3.3360671 0.499915200
3.3367436 0.500010190
3.3374201 0.500105090
3.3380965 0.500199880
3.3387730 0.500294570
3.3394495 0.500389170
3.3401259 0.500483660
3.3408024 0.500578060
3.3414788 0.500672360
3.3421552 0.500766560
3.3428317 0.500860670
3.3435081 0.500954680
3.3441845 0.501048590
3.3448609 0.501142410
3.3455373 0.501236120
3.3462138 0.501329750
3.3468902 0.501423270
3.3475666 0.501516710
3.3482429 0.501610040
3.3489193 0.501703280
3.3495957 0.501796430
3.3502721 0.501889480
3.3509485 0.501982440
3.3516248 0.502075310
3.3523012 0.502168080
3.3529775 0.502260750
3.3536539 0.502353340
3.3543302 0.502445830
3.3550066 0.502538220
3.3556829 0.502630530
3.3563592 0.502722740
3.3570356 0.502814860
3.3577119 0.502906890
3.3583882 0.502998830
3.3590645 0.503090680
3.3597408 0.503182440
3.3604171 0.503274100
3.3610934 0.503365680
3.3617697 0.503457160
3.3624460 0.503548550
3.3631223 0.503639860
3.3637985 0.503731070
3.3644748 0.503822200
3.3651511 0.503913240
3.3658273 0.504004190
3.3665036 0.504095040
3.3671798 0.504185820
3.3678561 0.504276500
3.3685323 0.504367090
3.3692086 0.504457600
3.3698848 0.504548020
3.3705610 0.504638360
3.3712372 0.504728600
3.3719135 0.504818760
3.3725897 0.504908840
3.3732659 0.504998820
3.3739421 0.505088730
3.3746183 0.505178540
3.3752945 0.505268270
3.3759706 0.505357920
3.3766468 0.505447480
3.3773230 0.505536950
3.3779992 0.505626340
3.3786753 0.505715650
3.3793515 0.505804870
3.3800276 0.505894010
3.3807038 0.505983070
3.3813799 0.506072040
3.3820561 0.506160930
3.3827322 0.506249730
3.3834083 0.506338450
3.3840844 0.506427090
3.3847606 0.506515650
3.3854367 0.506604130
3.3861128 0.506692520
3.3867889 0.506780840
3.3874650 0.506869070
3.3881411 0.506957220
3.3888172 0.507045290
3.3894933 0.507133280
3.3901693 0.507221180
3.3908454 0.507309010
3.3915215 0.507396760
3.3921975 0.507484430
3.3928736 0.507572020
3.3935496 0.507659530
3.3942257 0.507746960
3.3949017 0.507834310
3.3955778 0.507921580
3.3962538 0.508008780
3.3969298 0.508095890
3.3976059 0.508182930
3.3982819 0.508269890
3.3989579 0.508356780
3.3996339 0.508443580
3.4003099 0.508530310
